# state after step 7   (field 21 words)

# --- field of consciousness: what the reader can report
F0001 | why this look | is in the field of | thinker | 0.51 | assertion | sensory; cost 6
F0053 | thinker | has conflict level | 0.00 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   red (0.17): below k
#   blood (0.10): below k
#   an apple (0.10): below k
#   a friend (0.08): below k
#   fire (0.08): below k

# --- trace
#   active needs: a puzzle, coherence, understanding
#   understood: the thinking has a look too
#   need mass in the Field: understanding 1.65
#   mode reality: reality yield 0.40, fantasy yield 0.08
#   felt qualia: 0.33
#   felt the hard problem: 0.35
#   felt the explanatory gap: 0.20
#   felt the inverted spectrum: 0.00
#   self-model: predicted the word red, other people, only pointing, the look itself; program understanding
#   control levels: [forgot] L6, the look itself L5, the thinking has a look too L5, only pointing L5, why this look L4, the word red L4, other people L4, the eye L4, the brain L4, light and wavelength L4, red L1, blood L1, an apple L1, a friend L1, fire L1
