# state after step 8   (field 25 words)

# --- field of consciousness: what the reader can report
F0001 | why this look | is in the field of | thinker | 0.43 | assertion | carried; cost 6
F0035 | other people | is in memory of | thinker | 0.31 | assertion | cost 2
F0036 | only pointing | is in memory of | thinker | 0.28 | assertion | cost 2
F0037 | the mechanism | is in memory of | thinker | 0.20 | assertion | cost 3
F0038 | the eye | is in memory of | thinker | 0.50 | assertion | cost 2
F0039 | the brain | is in memory of | thinker | 0.50 | assertion | cost 2
F0040 | light and wavelength | is in memory of | thinker | 0.50 | assertion | cost 1
F0041 | an apple | is in memory of | thinker | 0.40 | assertion | cost 2
F0042 | red as a wavelength | has pulled | thinker | 0.68 | assertion | what the retrospective 'wants' is made of
F0043 | red as a pattern in the brain | has pulled | thinker | 0.66 | assertion | what the retrospective 'wants' is made of
F0044 | the look itself | has pulled | thinker | 0.73 | assertion | what the retrospective 'wants' is made of
F0045 | why this look | has pulled | thinker | -0.94 | assertion | what the retrospective 'wants' is made of
F0046 | a mystery | has pulled | thinker | 0.05 | assertion | what the retrospective 'wants' is made of
F0047 | only pointing | has pulled | thinker | 0.66 | assertion | what the retrospective 'wants' is made of
F0048 | the thinking has a look too | has pulled | thinker | 0.56 | assertion | what the retrospective 'wants' is made of
F0049 | a tidy explanation | has pulled | thinker | 0.54 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: understanding 5, none 3
#   pull of each image: a tidy explanation +0.54, why this look -0.50, the look itself +0.37, the thinking has a look too +0.37, only pointing +0.37
#   the reader's 'wants' resolves to understanding; the program is understanding
F0050 | why this look | has satisfaction delta | understanding | -0.6 | assertion | established by the text; carried
F0051 | red as a wavelength | has satisfaction delta | understanding | 0.45 | assertion | understood
F0052 | red as a pattern in the brain | has satisfaction delta | understanding | 0.45 | assertion | understood
F0053 | the look itself | has satisfaction delta | understanding | 0.45 | assertion | understood
F0054 | others may see it differently | has satisfaction delta | understanding | 0.45 | assertion | understood
F0055 | only pointing | has satisfaction delta | understanding | 0.45 | assertion | understood
F0056 | the thinking has a look too | has satisfaction delta | understanding | 0.45 | assertion | understood
F0057 | understanding | has satisfaction level | 0.149 | - | assertion | need state
F0058 | coherence | has satisfaction level | 0.300 | - | assertion | need state
F0059 | a puzzle | has satisfaction level | 0.400 | - | assertion | need state
F0060 | safety | has satisfaction level | 0.950 | - | assertion | need state
F0061 | thinker | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0062 | thinker | has conflict level | 0.11 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   two truths and no path (0.20): no room: 19 words, 8.0 left
#   no path from one to the other (0.20): no room: 7 words, 5.0 left
#   a contradiction (0.17): below k
#   a friend (0.08): below k

# --- trace
#   active needs: a puzzle, coherence, understanding
#   prerequisite missing: two truths and no path needs red as a pattern in the brain
#   need mass in the Field: understanding 1.95, coherence 0.21
#   mode reality: reality yield 0.35, fantasy yield 0.08
#   felt qualia: 0.32
#   felt the hard problem: 0.30
#   felt the explanatory gap: 0.17
#   felt the inverted spectrum: 0.00
#   self-model: predicted why this look, the word red, the look itself, the thinking has a look too, other people, only pointing; program understanding
#   self-surprise came to mind: a tidy explanation
#   self-surprise did not follow: two truths and no path
#   control levels: [came to mind] L6, [forgot] L6, the look itself L5, the thinking has a look too L5, only pointing L5, why this look L4, the word red L4, a tidy explanation L4, other people L4, the mechanism L4, the eye L4, the brain L4, light and wavelength L4, an apple L4, two truths and no path L2, no path from one to the other L2, a contradiction L1, a friend L1
#   short form of red as a pattern in the brain with red as a pattern in the brain not in memory: an unknown token, ignored
#   short form of red as a wavelength with red as a wavelength not in memory: an unknown token, ignored
