# state after step 9   (field 29 words)

# --- field of consciousness: what the reader can report
F0001 | an apple | is in the field of | thinker | 0.40 | assertion | sensory; cost 2
F0068 | thinker | has conflict level | 0.21 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   the apple is still red (0.20): no room: 9 words, 2.0 left
#   the mechanism (0.17): below k
#   blood (0.10): below k
#   fire (0.08): below k
#   a friend (0.08): below k

# --- trace
#   active needs: a puzzle, coherence, understanding
#   prerequisite missing: the apple is still red needs two truths and no path
#   need mass in the Field: understanding 2.00, coherence 0.42
#   mode reality: reality yield 0.31, fantasy yield 0.10
#   felt qualia: 0.27
#   felt the hard problem: 0.26
#   felt the explanatory gap: 0.15
#   felt the inverted spectrum: 0.00
#   self-model: predicted why this look, the look itself, a tidy explanation, the word red, the thinking has a look too, other people, only pointing; program understanding
#   self-surprise did not follow: the apple is still red
#   control levels: [came to mind] L6, [did not follow] L6, [forgot] L6, the look itself L5, the thinking has a look too L5, only pointing L5, an apple L4, why this look L4, a tidy explanation L4, the word red L4, other people L4, picking up the apple L4, red L4, the eye L4, the brain L4, light and wavelength L4, the apple is still red L2, the mechanism L1, blood L1, fire L1, a friend L1
