# state after step 6   (field 40 words)

# --- field of consciousness: what the reader can report
F0001 | the unknown x | is in the field of | student | 0.43 | assertion | sensory; cost 1
F0031 | student | attends to | reality | 0.36 | assertion | the interface in use; value = reality yield so far; fantasy yield 0.10

F0032 | student | has met self-surprise | came to mind | 2 | assertion | objective: how often this kind has occurred
F0033 | student | has met self-surprise | forgot | 1 | assertion | objective: how often this kind has occurred
F0034 | student | has items at control levels | L1 2, L2 3, L4 6, L5 7, L6 1 | - | assertion | 1 reacted only; 2 conscious as something, gone; 4 named; 5 related; 6 generative. L3 not representable yet

# --- long-term memory
F0035 | the unknown x | is in memory of | student | 0.43 | assertion | cost 1
F0036 | the quadratic formula | is in memory of | student | 0.36 | assertion | cost 3
F0037 | the discriminant | is in memory of | student | 0.36 | assertion | cost 2
F0038 | a root of the equation | is in memory of | student | 0.36 | assertion | cost 5
F0039 | the square root | is in memory of | student | 0.34 | assertion | cost 1
F0040 | the sign of the discriminant tells how many roots | is in memory of | student | 0.31 | assertion | cost 9
F0041 | two roots, one root, or none | is in memory of | student | 0.31 | assertion | cost 5
F0042 | a quadratic equation | is in memory of | student | 0.26 | assertion | cost 3
F0043 | a formula to memorise | is in memory of | student | 0.26 | assertion | cost 2
F0044 | expanding brackets | is in memory of | student | 0.25 | assertion | cost 2
F0045 | a worked example | is in memory of | student | 0.25 | assertion | cost 2
F0046 | checking a root by substitution | is in memory of | student | 0.22 | assertion | cost 5
F0047 | a linear equation | is in memory of | student | 0.50 | assertion | cost 3
F0048 | the area of a square | is in memory of | student | 0.30 | assertion | cost 4
F0049 | a worked example | has pulled | student | 1.16 | assertion | what the retrospective 'wants' is made of
F0050 | a quadratic equation | has pulled | student | 0.71 | assertion | what the retrospective 'wants' is made of
F0051 | a root of the equation | has pulled | student | 0.70 | assertion | what the retrospective 'wants' is made of
F0052 | checking a root by substitution | has pulled | student | 0.70 | assertion | what the retrospective 'wants' is made of
F0053 | two roots, one root, or none | has pulled | student | 0.68 | assertion | what the retrospective 'wants' is made of
F0054 | the discriminant | has pulled | student | 0.63 | assertion | what the retrospective 'wants' is made of
F0055 | the sign of the discriminant tells how many roots | has pulled | student | 0.54 | assertion | what the retrospective 'wants' is made of
F0056 | the quadratic formula | has pulled | student | 0.36 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: understanding 7, none 3, getting the answer right 2
#   pull of each image: a worked example +0.59, the quadratic formula +0.36, the discriminant +0.36, a root of the equation +0.36, the sign of the discriminant tells how many roots +0.36, two roots, one root, or none +0.36, a quadratic equation +0.36, checking a root by substitution +0.36
#   the reader's 'wants' resolves to understanding; the program is understanding
F0057 | a door for later, not a wall | has satisfaction delta | interest | 0.3 | assertion | established by the text; carried
F0058 | a quadratic equation | has satisfaction delta | understanding | 0.45 | assertion | understood
F0059 | a root of the equation | has satisfaction delta | understanding | 0.45 | assertion | understood
F0060 | checking a root by substitution | has satisfaction delta | understanding | 0.45 | assertion | understood
F0061 | two roots, one root, or none | has satisfaction delta | understanding | 0.45 | assertion | understood
F0062 | the discriminant | has satisfaction delta | understanding | 0.45 | assertion | understood
F0063 | the sign of the discriminant tells how many roots | has satisfaction delta | understanding | 0.45 | assertion | understood
F0064 | the quadratic formula | has satisfaction delta | understanding | 0.45 | assertion | understood
F0065 | student | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0066 | student | has conflict level | 0.20 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   a linear equation (0.22): no room: 3 words, 0.0 left
#   a shortcut (0.20): no room: 2 words, 0.0 left
#   a formula (0.20): no room: 1 words, 0.0 left
#   a trick (0.11): below k
#   a test (0.07): below k

# --- trace
#   understood: the quadratic formula
#   need mass in the Field: understanding 2.76, getting the answer right 0.56, interest 0.16
#   mode reality: reality yield 0.36, fantasy yield 0.10
#   felt complex numbers: 0.24
#   felt the fundamental theorem of algebra: 0.23
#   felt Vieta's theorem: 0.20
#   self-model: predicted the unknown x, the sign of the discriminant tells how many roots, the discriminant, two roots, one root, or none, the square root, a quadratic equation, expanding brackets, a worked example, checking a root by substitution, a root of the equation, a linear equation; program understanding
#   self-surprise forgot: a linear equation
#   self-surprise came to mind: a formula to memorise
#   control levels: [came to mind] L6, the quadratic formula L5, the discriminant L5, a root of the equation L5, the sign of the discriminant tells how many roots L5, two roots, one root, or none L5, a quadratic equation L5, checking a root by substitution L5, the unknown x L4, the square root L4, a formula to memorise L4, expanding brackets L4, a worked example L4, the area of a square L4, a linear equation L2, a shortcut L2, a formula L2, a trick L1, a test L1
