# state after step 7   (field 23 words)

# --- field of consciousness: what the reader can report
F0001 | a computer | is in the field of | child | 0.40 | assertion | sensory; cost 2
F0043 | same steps, same result every time | has pulled | child | 0.71 | assertion | what the retrospective 'wants' is made of
F0044 | it must come to an end | has pulled | child | 0.54 | assertion | what the retrospective 'wants' is made of
F0045 | anyone can follow it without knowing why | has pulled | child | 0.63 | assertion | what the retrospective 'wants' is made of
F0046 | an algorithm | has pulled | child | 0.54 | assertion | what the retrospective 'wants' is made of
F0047 | a computer only follows algorithms | has pulled | child | 0.36 | assertion | what the retrospective 'wants' is made of
F0048 | a game | has pulled | child | 0.35 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: understanding 5, none 1, fun 1
#   pull of each image: a computer only follows algorithms +0.36, anyone can follow it without knowing why +0.36, an algorithm +0.36, every step must be exact +0.36, steps done one after another +0.36, a game +0.35
#   the reader's 'wants' resolves to understanding; the program is understanding
F0049 | steps done one after another | has satisfaction delta | understanding | 0.4 | assertion | understood
F0050 | every step must be exact | has satisfaction delta | understanding | 0.4 | assertion | understood
F0051 | same steps, same result every time | has satisfaction delta | understanding | 0.4 | assertion | understood
F0052 | it must come to an end | has satisfaction delta | understanding | 0.4 | assertion | understood
F0053 | anyone can follow it without knowing why | has satisfaction delta | understanding | 0.4 | assertion | understood
F0054 | an algorithm | has satisfaction delta | understanding | 0.4 | assertion | understood
F0055 | a computer only follows algorithms | has satisfaction delta | understanding | 0.4 | assertion | understood
F0056 | child | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0057 | child | has conflict level | 0.19 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   it must come to an end (0.29): no room: 6 words, 3.0 left
#   following instructions (0.17): below k

# --- trace
#   understood: a computer only follows algorithms
#   need mass in the Field: understanding 1.80, fun 0.35
#   mode reality: reality yield 0.36, fantasy yield 0.00
#   felt a Turing machine: 0.32
#   felt the halting problem: 0.16
#   felt formal semantics: 0.17
#   self-model: predicted an algorithm, every step must be exact, steps done one after another, it must come to an end, anyone can follow it without knowing why; program understanding
#   self-surprise forgot: it must come to an end
#   self-surprise came to mind: a game
