# state after step 10   (field 24 words)

# --- field of consciousness: what the reader can report
F0001 | an algorithm | is in the field of | child | 0.36 | assertion | sensory; cost 2
F0048 | it must come to an end | has pulled | child | 0.63 | assertion | what the retrospective 'wants' is made of
F0049 | anyone can follow it without knowing why | has pulled | child | 0.70 | assertion | what the retrospective 'wants' is made of
F0050 | an algorithm | has pulled | child | 0.70 | assertion | what the retrospective 'wants' is made of
F0051 | a computer only follows algorithms | has pulled | child | 0.63 | assertion | what the retrospective 'wants' is made of
F0052 | a game | has pulled | child | 0.35 | assertion | what the retrospective 'wants' is made of
F0053 | a bug | has pulled | child | 0.63 | assertion | what the retrospective 'wants' is made of
F0054 | doing it yourself | has pulled | child | 0.30 | assertion | what the retrospective 'wants' is made of

# --- need portrait (objective: its own vocabulary, not the reader's)
#   components by need: understanding 6, doing it myself 1
#   pull of each image: an algorithm +0.36, anyone can follow it without knowing why +0.36, a computer only follows algorithms +0.36, a bug +0.36, steps done one after another +0.36, every step must be exact +0.36, doing it yourself +0.30
#   the reader's 'wants' resolves to understanding; the program is understanding
F0055 | steps done one after another | has satisfaction delta | understanding | 0.4 | assertion | understood
F0056 | every step must be exact | has satisfaction delta | understanding | 0.4 | assertion | understood
F0057 | same steps, same result every time | has satisfaction delta | understanding | 0.4 | assertion | understood
F0058 | it must come to an end | has satisfaction delta | understanding | 0.4 | assertion | understood
F0059 | anyone can follow it without knowing why | has satisfaction delta | understanding | 0.4 | assertion | understood
F0060 | an algorithm | has satisfaction delta | understanding | 0.4 | assertion | understood
F0061 | a computer only follows algorithms | has satisfaction delta | understanding | 0.4 | assertion | understood
F0062 | a bug | has satisfaction delta | understanding | 0.4 | assertion | understood
F0063 | child | has dominant need | understanding | 0 | assertion | the program: an aggregate, no keys; value = switches so far
F0064 | child | has conflict level | 0.14 | - | assertion | runner-up program's mass over the leader's: competition for the one motor channel

# --- field of mind (blackboard): represented, not conscious — the analyst's view, not the reader's
#   it must come to an end (0.29): no room: 6 words, 0.0 left
#   same steps, same result every time (0.29): no room: 6 words, 0.0 left
#   a computer (0.26): no room: 2 words, 0.0 left
#   a game (0.21): no room: 2 words, 0.0 left
#   you try it (0.20): no room: 3 words, 0.0 left

# --- trace
#   need mass in the Field: understanding 2.16, doing it myself 0.30
#   mode reality: reality yield 0.35, fantasy yield 0.00
#   felt a Turing machine: 0.32
#   felt the halting problem: 0.23
#   felt formal semantics: 0.25
#   self-model: predicted an algorithm, steps done one after another, every step must be exact, it must come to an end, same steps, same result every time, a bug, a game; program understanding
#   self-surprise forgot: it must come to an end, same steps, same result every time, a game
#   control levels: [forgot] L6, an algorithm L5, anyone can follow it without knowing why L5, a computer only follows algorithms L5, a bug L5, steps done one after another L5, every step must be exact L5, doing it yourself L4, following instructions L4, a recipe L4, the rules of a game L4, a robot L4, brushing your teeth L4, making a sandwich L4, it must come to an end L2, same steps, same result every time L2, a computer L2, a game L2, you try it L2
